7/1/2022 "Abandonment of Easement - ABND 200564 - Southeast Corner of 29th Avenue and Georgia Avenue (Resolution 22046)" welfare
7/1/2022 "Client Services Portal System Integration (Ordinance S-48878)" economy
7/1/2022 "Public Hearing and Ordinance Adoption - Rezoning Application Z-76-21-2 (Icon Kierland PUD) - Southwest Corner of Kierland Boulevard and Marilyn Road (Ordinance G-7007)" welfare
7/1/2022 "Settlement of Claim(s) Rivera-Albarado v. City of Phoenix" infrastructure
7/1/2022 "Public Hearing and Ordinance Adoption - Rezoning Application Z-6-22-2 - Approximately 2,400 Feet Southwest of the Southwest Corner of Cave Creek Road and Jomax Road (Ordinance G-7006)" infrastructure
"Not Available" "Public Hearing and Resolution Adoption - General Plan Amendment GPA-PV-4-21-2 - Southwest Corner of Kierland Boulevard and Marilyn Road (Resolution 22045)" infrastructure
"Not Available" "Public Hearing and Resolution Adoption - General Plan Amendment GPA-DSTV-1-22-2 - Approximately 2,400 Feet Southwest of the Southwest Corner of Cave Creek Road and Jomax Road (Resolution 22044)" infrastructure
"Not Available" "Amend City Code - Ordinance Adoption - Rezoning Application Z-57-21-3 (PV PUD) - Northwest Corner of Tatum Boulevard and Cactus Road (Ordinance G-7004)" infrastructure
"Not Available" "Amend City Code - Ordinance Adoption - Rezoning Application Z-7-22-3 - Approximately 190 Feet West of the Northwest Corner of 22nd Street and Paradise Lane (Ordinance G-7003)" infrastructure
"Not Available" "Biddle Consulting Group, Inc." welfare
7/1/2022 "Amend City Code - Ordinance Adoption - Rezoning Application Z-10-22-4 - Approximately 400 Feet East of the Southeast Corner of Central Avenue and Roanoke Avenue (Ordinance G-7002)" infrastructure
7/1/2022 "Waiver of Federal Patent Easement - ABND 220022 - Southeast Corner of 19th Avenue and Jomax Road (Resolution 22043)" welfare
"Not Available" "Professional Services for Network Support - Amendments (Ordinance S-48877)" economy
"Not Available" "Intergovernmental Agreement with Gila River Indian Community for Sidewalk Improvements Along Baseline Road from 83rd to 75th Avenues (Ordinance S-48876)" infrastructure
7/1/2022 "North Gateway Transfer Station, Materials Recovery Facility Fire Suppression System - Amendment to Ordinance S-48330" infrastructure
"Not Available" "Grass Seed Contract - RFQu 22-075 Request for Award (Ordinance S-48875)" environment
"Not Available" "Motorola Solutions, Inc. doing business as Vigilant Solutions, LLC" economy
"Not Available" "Abandonment of Easement - ABND 220009 - 5734, 5730 and 5726 North 8th Place (Resolution 22042)" environment
"Not Available" "Amend City Code - Ordinance Adoption - Rezoning Application Z-11-22-5 - Northeast Corner of 107th Avenue and Missouri Avenue (Ordinance G-7001)" infrastructure
"Not Available" "Amend City Code - Ordinance Adoption - Rezoning Application Z-14-22-1 - Northeast Corner of Black Canyon Highway and Adobe Drive (Ordinance G-7000)" infrastructure
"Not Available" "Abandonment of Easement - ABND 210064 - Northeast Corner of 29th Avenue and Colter Street (Resolution 22041)" infrastructure
"Not Available" "Abandonment of Easement - ABND 210050 - Southeast Corner of 29th Avenue and Georgia Avenue (Resolution 22040)" infrastructure
7/1/2022 "Abandonment of Alleyway - ABND 210043 - East Lincoln Drive and East Piestewa Drive (Resolution 22039)" infrastructure
7/1/2022 "Abandonment of Easement - V190002A - Southeast Corner of Fillmore Street and 5th Avenue (Resolution 22038)" infrastructure
7/1/2022 "Intergovernmental Agreement with Paradise Valley Unified School District for the Installation of a Traffic Control Device at 28th Street and Shea Boulevard (Ordinance S-48874)" welfare
7/1/2022 "NABCO Systems LLC" economy
7/1/2022 "Final Plat - 2102 North 26th Place - PLAT 210097 - 2102 N. 26th Place" infrastructure
"Not Available" "Donation from Phoenix Police Foundation for Victim Center Renovation (Ordinance S-48873)" welfare
7/1/2022 "Online Language Learning Resources - RFP 16- 217-Amendment (Ordinance S-48872)" welfare
7/1/2022 "Clean Public Facility and School Improvement and Upgrades Program Award Recommendation (Ordinance S-48871)" welfare
7/1/2022 "Community Wireless Network (Digital Divide Cooperative Network) Intergovernmental Agreement - Amendment (Ordinance S-48870)" infrastructure
7/1/2022 "Network and Telephony Equipment and Services Contract - COOP 23-004 Request for Award (Ordinance S-48869)" infrastructure
7/1/2022 "Intergovernmental Agreement with Murphy Elementary School District for the Installation of a Pedestrian Signal on Buckeye Road East of 33rd Avenue (Ordinance S-48868)" welfare
7/1/2022 "Final Plat - The Urban Encanto - PLAT 210099 - North of Earll Drive East of 19th Avenue" infrastructure
7/1/2022 "Authorization to Amend Ordinance for Downtown Camera Project (Ordinance S-48867)" infrastructure
7/1/2022 "Final Plat - The Hacienda at Carefree - PLAT 210108 - South of Carefree Highway and East of 42nd Street" infrastructure
7/1/2022 "Marketing Services - ADSPO16-145339 - Amendment (Ordinance S-48866)" environment
7/1/2022 "Lucas Holdings, LLC doing business as Lucas Color Card" welfare
7/1/2022 "Final Plat - Dunkin-Gardners Enclave - PLAT 210085 - Southwest Corner of 34th Place and Baseline Road" welfare
7/1/2022 "Fiscal Year 2022-23 Legal Representation Services Contracts (Ordinance S-48865)" government
7/1/2022 "Final Plat - Montana Del Sur - PLAT 210064 - Southwest Corner of 47th Avenue and Southern Avenue" infrastructure
7/1/2022 "(CONTINUED FROM JUNE 1, 2022) - Public Hearing and Ordinance Adoption - Rezoning Application Z-75-18-2 - South of Sonoran Desert Drive between the 16th Street and 32nd Street Alignments (Ordinance G-6992)" welfare
7/1/2022 "(CONTINUED FROM JUNE 1, 2022) - Public Hearing and Resolution Adoption - General Plan Amendment GPA-DSTV-1-18-2 - Southwest Corner of the 24th Street Alignment and Sonoran Desert Drive (Resolution 22030)" infrastructure
7/1/2022 "(CONTINUED FROM JUNE 1, 2022) - Public Hearing - Amend the Desert Character Overlay District - Ordinance Adoption - Z-TA-5-18-2 (Ordinance G-6993)" infrastructure
7/1/2022 "(CONTINUED FROM JUNE 1, 2022) - Public Hearing and Ordinance Adoption - Rezoning Application Z-62-18-2 (Verdin PUD) - Southwest corner of the 24th Street Alignment and Sonoran Desert Drive (Ordinance G-6991)" welfare
7/1/2022 "Settlement of Claim(s) Guerra v. City of Phoenix" infrastructure
7/1/2022 "Clerk Retail, Inc. doing business as Grocery TV" economy
7/1/2022 "Technology Partners, Inc." welfare
7/1/2022 "Reflectorized Sign Sheeting Materials Contract - Coop 22-100 Request for Award (Ordinance S-48864)" welfare
7/1/2022 "Purchase of Polymers for Water Treatment and Production - Amendment (Ordinance S-48863)" infrastructure
7/1/2022 "Employee Medical Health Plans, Contract Extensions (Ordinance S-48862)" welfare
7/1/2022 "Final Plat - Tract E of 2200 E. Bethany - PLAT 220014 - 6204 N. 22nd St." infrastructure
7/1/2022 "Final Plat - Ragsdale - PLAT 210074 - Northwest Corner of 12th Street and Washington Street" infrastructure
7/1/2022 "Reemployment Services and Eligibility Assessment (RESEA) Program - Intergovernmental Agreement (IGA) with Arizona Department of Economic Security (Ordinance S-48861)" welfare
7/1/2022 "Fiscal Year 2022-23 Community Arts Support Grant Allocations (Ordinance S-48860)" welfare
7/1/2022 "Christy Signs" economy
7/1/2022 "Trunarc Consumables and Service - RFA 18-323-Additional Funds (Ordinance S-48897)" welfare
7/1/2022 "Amend City Code - Ordinance Adoption - Rezoning Application Z-12-22-7 - Northwest Corner of 47th Avenue and Baseline Road (Ordinance G-6999)" infrastructure
7/1/2022 "Authorization to Enter into a Supplemental Agreement with the United States, Central Arizona Water Conservation District and Others for Further Participation in the Colorado River 500+ Plan; Amend Ordinance S-48254 (Ordinance S-48859)" infrastructure
7/1/2022 "Citywide General Construction - Job Order Contracting Services - Amendment - 4108JOC178 (Ordinance S-48858)" infrastructure
7/1/2022 "One-Time Rental of SR85 Landfill CAT Dozer (Ordinance S-48857)" infrastructure
7/1/2022 "Final Plat - The Cove Apartments - PLAT 210109 - 1526 W. Desert Cove Ave." welfare
7/1/2022 "FY 2022 Body-Worn Camera Policy and Implementation Program to Support Law Enforcement Agencies Grant (Ordinance S-48856)" welfare
7/1/2022 "Library eCard Patron Online Verification and Services- RFA 16-140- Amendment (Ordinance S-48855)" law
7/1/2022 "Intergovernmental Agreement with Arizona Department of Transportation for Traffic Signals and Under-Deck Lighting at Interstate 17 and Central Avenue (Ordinance S-48854)" infrastructure
7/1/2022 "Adoption of Property Tax Levy for 2022-23 Fiscal Year (Ordinance S-48853)" welfare
7/1/2022 "Public Hearing on Adoption of Property Tax Levy for 2022-23 Fiscal Year" welfare
7/1/2022 "Procurement Consultant for Website Modernization Project Contract - QVL 22-127- Request for Award (Ordinance S-48852)" government
7/1/2022 "Commercial Driver's License (CDL) Class A Training and Licensing, EXC HR 22-003 (Ordinance S-48851)" economy
7/1/2022 "Citywide General Construction - Job Order Contracting Services - 4108JOC209 (Ordinance S-48850)" infrastructure
7/1/2022 "Oracle Mobile Workforce Management Upgrade Services - RFA 2122-WTS-477 Request for Award (Ordinance S-48849)" economy
7/1/2022 "Software Value-Added Reseller Services - State of Arizona Cooperative Contract - Amendment (Ordinance S-48848)" economy
7/1/2022 "Streetlight Maintenance Services - Amendment - RFP 63-0037 (Ordinance S-48847)" infrastructure
7/1/2022 "Authorization to Apply for, Accept and enter into an Agreement for FY 2022 Paul Coverdell Forensic Science Improvement Formula Grant Program (Ordinance S-48846)" welfare
7/1/2022 "Intergovernmental Agreement with the City of Glendale for the Installation of Vehicle Detection Along Glendale Avenue (Ordinance S-48845)" infrastructure
7/1/2022 "Authorization to Enter into a License for Short-Term Parking at 39 W. Cypress St. (Ordinance S-48844)" infrastructure
7/1/2022 "Security Access Controls Contract - RFA 2122-WPC-361 - Request for Award (Ordinance S-48843)" law
7/1/2022 "Authorization to Accept and Disburse Area Agency on Aging, Region One, Funding for Home Delivered Meal Program (Ordinance S-48842)" welfare
7/1/2022 "Amend City Code - Official Supplementary Zoning Map 1232 (Ordinance G-6998)" infrastructure
7/1/2022 "Records Management System Contract - COOP 22-079 Request for Award (Ordinance S-48841)" law
7/1/2022 "Acceptance and Dedication of Easements and Deeds for Sidewalk, Public Utility and Roadway Purposes (Ordinance S-48840)" infrastructure
7/1/2022 "Acceptance of Easements for Access, Drainage and Storm Drainage Purposes (Ordinance S-48839)" welfare
7/1/2022 "Amend City Code - Section 36-158, Schedule I, Local Speed Limits at 27 Locations (Ordinance G-6997)" infrastructure
7/1/2022 "Amending Chapter 2, Article XXVI, Phoenix City Code, Relating to Phoenix Youth and Education Commission (Ordinance G-6996)" welfare
7/1/2022 "Phoenix Mobile Career Unit Purchase from Farber Specialty Vehicles (Ordinance S-48838)" economy
7/1/2022 "Arizona Public Service Trenching Agreement for City of Phoenix Waterline Improvements for Zone 3D/4A - WS85500442 (Ordinance S-48837)" infrastructure
7/1/2022 "Auditing and Consulting Services - Requirements Contract - MCC 180241 D - Amendment (Ordinance S-48836)" government
"Not Available" "Industrial and Medical Gases- COOP 22-084- Request for Award (Ordinance S-48835)" welfare
7/1/2022 "Area Bounded by Fillmore to Roosevelt Streets, 7th to 24th Streets Active Transportation Plan - Engineering Services - ST87600137 (Ordinance S-48834)" infrastructure
7/1/2022 "Inspection and Repair of Hoist and Cranes - Amendment (Ordinance S-48833)" economy
7/1/2022 "Custodial Services Fire Department - Requirements Contract RFP 22-038 - Request for Award (Ordinance S-48832)" government
7/1/2022 "Support for Formation of Medlock Place Irrigation Water Delivery District (Resolution 22037)" infrastructure
7/1/2022 "Work and Asset Management (WAM) Migration Consulting Services Contract - Request for Award (Ordinance S-48831)" "foreign policy"
7/1/2022 "CCR Furniture Upholstery Cleaners Inc." economy
7/1/2022 "Online Access Electronic Books - RFA 17-072 - Amendment (Ordinance S-48830)" law
7/1/2022 "Gila River Indian Community Gaming Grants (Ordinance S-48829)" infrastructure
7/1/2022 "Public Communications Equipment and Parts - Requirements Contract (Ordinance S-48828)" infrastructure
7/1/2022 "Canine Urban Search & Rescue Services Agreement with Arizona Search Dogs, Inc. (Ordinance S-48827)" infrastructure
7/1/2022 "American Water College Contract - RFA-2122-WST-343 - Request for Award (Ordinance S-48826)" welfare
7/1/2022 "Emergency Rental Assistance Program Weekly Update" infrastructure
7/1/2022 "2022 State Legislative Report" government
"Not Available" "Weekly Community Spread Benchmark Report" welfare
"Not Available" "For Transmittal, Minutes of the Policy Session on June 7, 2022" infrastructure
"Not Available" "Downtown Redevelopment Tools Update" infrastructure
"Not Available" "Emergency Rental Assistance Program Weekly Update" infrastructure
"Not Available" "Weekly Community Spread Benchmark Report" welfare
"Not Available" "2022 State Legislative Report" government
"Not Available" "Mayor and Council Appointments to Boards and Commissions" government
6/22/2022 "Public Health Fellowship Intergovernmental Agreement (Ordinance S-48824)" welfare
6/15/2022 "(CONTINUED FROM JUNE 1, 2022) - Amend Redevelopment and Purchase Agreement with Metrowest Development, LLC (Ordinance S-48700)" infrastructure
"Not Available" "(CONTINUED FROM JUNE 1, 2022) - Swearing in of Municipal Court Judges" law
6/15/2022 "Amendments to Classification Plan S-5815 in Accordance with Human Resources Committee 614 Recommendations (Ordinance S-48823)" economy
6/15/2022 "Council Election to be Held on Nov. 8, 2022, Conducted by Maricopa County (Ordinance S-48822)" government
6/15/2022 "Form of the Ballot for Nov. 8, 2022 Council Election (Ordinance S-48821)" government
"Not Available" "(CONTINUED FROM MAY 25, 2022) - Authorization to Enter into Agreement with Arizona Humane Society (Ordinance S-48672)" welfare
6/15/2022 "Memorandum of Understanding with Harvard Kennedy School (Ordinance S-48820)" welfare
6/15/2022 "Final Plat - Quiktrip - SEC of 35th Ave & I-10 - PLAT 220024 - Southeast Corner of 35th Avenue and I-10" infrastructure
6/15/2022 "Off-Site Records Management and Destruction Services (Ordinance S-48819)" infrastructure
"Not Available" "Amendments to Pay Ordinance S-47689 in Accordance with Human Resources Committee 614 Recommendations (Ordinance S-48818)" economy
6/15/2022 "Transportation Electrification Plan" infrastructure
6/15/2022 "Request to Apply for and Accept Grant Funds for Temporary Regional Electric Vehicle Program Administrator Position, Create Temporary Position, and Enter Related Contracts (Ordinance S-48817)" welfare
6/15/2022 "For Approval or Correction, the Minutes of the Formal Meeting on July 1, 2020" government
"Not Available" "Dick's Sporting Goods - Sports Matter Grant (Ordinance S-48816)" welfare
6/15/2022 "Final Plat - Laveen Springs - PLAT 220015 - Northwest Corner of 75th Avenue and Baseline Road" infrastructure
6/15/2022 "Rental Rehabilitation Program Project Award (Ordinance S-48815)" infrastructure
6/15/2022 "Authorization to Amend Ordinance for Intergovernmental Agreements with Arizona Law Enforcement Agencies through Internet Crimes Against Children Task Force (Ordinance S-48814)" law
6/15/2022 "Abandonment of Right-of-Way Easement - ABND 220005 - 1201 N. 35th Ave. (Resolution 22036)" infrastructure
6/15/2022 "Designation of the East Half of 34th Avenue as a Public Alley (North of Moreland Street and South of Interstate 10) (Resolution 22035)" government
6/15/2022 "Enter into Agreement with Valley of the Sun United Way for Read On Phoenix Literacy Activities and Related Intergovernmental Agreements with Cartwright and Murphy Elementary School Districts (Ordinance S-48813)" welfare
6/15/2022 "City Treasurer - Annual Payment Authority" economy
6/15/2022 "Various Vendors - Annual Utility Charges" economy
"Not Available" "Approval of Neighborhood Block Watch Oversight Committee's Recommendations for the 2022 Grant Program Awards (Ordinance S-48812)" welfare
"Not Available" "Intergovernmental Agreement with Arizona Department of Public Safety (Ordinance S-48811)" law
"Not Available" "Authorization to Enter Into Intergovernmental Agreements with Arizona Law Enforcement Agencies through Internet Crimes Against Children Task Force (Ordinance S-48810)" law
"Not Available" "Authorization to Apply for, Accept and Enter into Agreements for High Intensity Drug Trafficking Area Grant Funds (Ordinance S-48809)" welfare
6/15/2022 "United States Postal Service - Annual Payment Authority" economy
6/15/2022 "Ellen MacArthur Foundation Network Membership Renewal (Ordinance S-48808)" welfare
"Not Available" "CDBG Neighborhood Enhancement Program Playground Turf Improvements (Ordinance S-48807)" infrastructure
6/15/2022 "Public Hearing and Ordinance Adoption - Rezoning Application Z-70-21-5 - Approximately 500 Feet South of the Southeast Corner of 75th Avenue and Camelback Road (Ordinance G-6995)" welfare
6/15/2022 "Network Equipment and Services - Additional Funds - State of Arizona ADSPO 16-00005819 (Ordinance S-48806)" welfare
6/15/2022 "Artist Fabrication, Construction Oversight and Installation Contract for Eastlake Park Streetscape Arts Project (Ordinance S-48805)" infrastructure
"Not Available" "Authorization for Phoenix Municipal Court to Apply for Grant Funding and Enter into Agreement for Professional IT Consulting Services (Ordinance S-48804)" welfare
6/15/2022 "Abandonment of Right-of-Way - ABND 220017 - Northwest Corner of 75th Avenue and Baseline Road (Resolution 22034)" infrastructure
"Not Available" "PRIDE Group, LLC" government
6/15/2022 "Authorization to Enter into an Agreement for Accepting and Processing Recyclable and Additional Waste Streams from Waste Management of Arizona, Inc. (Ordinance S-48803)" infrastructure
6/15/2022 "CoStar Realty Information, Inc." economy
6/15/2022 "ARPA Phoenix Resilient Food System Programs - Enter into Agreements for Agri-Food Technology Innovation Grants (Ordinance S-48802)" welfare
6/15/2022 "Request to Amend Contract to Allow for Additional Pass-Through American Rescue Plan Act Funds (Ordinance S-48801)" welfare
6/15/2022 "Bus Inspection Services Contract - Request for Award (Ordinance S-48800)" infrastructure
6/15/2022 "Amend Ordinance S-47957 to Modify Business Terms with Arizona Fresh Holdings LLC for redevelopment of the Del Rio Former Landfill at 1150 E. Elwood St. (Ordinance S-48799)" infrastructure
"Not Available" "Authorization for Phoenix Municipal Court to Apply for Grant Funding and Enter into Agreement for Upgraded Security Screening System (Ordinance S-48798)" welfare
"Not Available" "Airport Concessions Relief and American Rescue Plan Act (Ordinance S-48797)" welfare
6/15/2022 "BNSF Railway Company" infrastructure
6/15/2022 "Add Federal CDBG Funding for Foothills Village HUD Rental Assistance Demonstration Rehabilitation (Ordinance S-48796)" welfare
"Not Available" "Prostitution Solicitation Diversion Program" law
6/15/2022 "Modification of Stipulation Request for Ratification of May 18, 2022, Planning Hearing Officer Action - PHO-3-22--Z-120-00-7 - Approximately 375 Feet North of the Northeast Corner of 67th Avenue and Lower Buckeye Road" infrastructure
6/15/2022 "Modification of Stipulation Request for Ratification of May 18, 2022, Planning Hearing Officer Action - PHO-2-22--Z-33-06-5 - Northwest Corner of 115th Avenue and Indian School Road" infrastructure
6/15/2022 "Modification of Stipulation Request for Ratification of May 18, 2022, Planning Hearing Officer Action - PHO-1-22--Z-64-87-2(3) - Southwest Corner of 19th Avenue and Sunnyside Avenue" infrastructure
"Not Available" "Playcore Group, Inc and Subsidiaries doing business as Belson Outdoors, LLC" welfare
"Not Available" "ATNi doing business as Commnet of Arizona" economy
6/15/2022 AT&T infrastructure
6/15/2022 "Lumen Technologies, Inc. doing business as Lumen Technologies Service Group, LLC" economy
"Not Available" "Syniverse Technologies, LLC" infrastructure
6/15/2022 "Zayo Group Holdings, Inc. doing business as Allstream Business US, LLC, Integra Telecom, Electric Lightwave, OpticAccess" economy
6/15/2022 "Cox Communications, Inc. doing business as Cox Business" economy
6/15/2022 "Rental Car Center Lobby Food, Beverage, and Retail Concession Award Recommendation to TMG Services LLC dba Phoenix Magazine Cafe and Market (Ordinance S-48795)" economy
6/15/2022 "Authorization to Apply for FY 2022 Homeland Security Grant Program Funds (Ordinance S-48794)" welfare
6/15/2022 "Unmanned Aerial System (UAS) Consultant for the Phoenix Fire Department (Ordinance S-48793)" infrastructure
6/15/2022 "Building Equipment Operator Apprenticeship Program Training Services (Ordinance S-48792)" economy
6/15/2022 "Resolution to Proceed with Construction and Call for Bids for Hedgepeth Waterline Improvement District - WS85503001, ID 1309 (Resolution 22033)" infrastructure
6/15/2022 "Fire Service Training Agreements (Ordinance S-48791)" economy
6/15/2022 "Video Surveillance System Installation for Maryvale Parkway and Pine Towers Senior Housing Communities (Ordinance S-48790)" welfare
6/15/2022 "Authorization to Enter into a Development Agreement with IDM Companies for Reimbursement of Public Infrastructure Improvements (Ordinance S-48789)" infrastructure
6/15/2022 "First Student, Inc." welfare
6/15/2022 "Annual Neighborhood Services Code Enforcement Policy Review" infrastructure
6/15/2022 "Consulting Services - HOME-ARP Funds Utilization Plan (Ordinance S-48788)" infrastructure
6/15/2022 "Parks and Recreation Programming Supplies and Services (Ordinance S-48787)" infrastructure
6/15/2022 "Authorization to Enter into an Intergovernmental Agreement with the Arizona Water Banking Authority for Firming of Central Arizona Project Municipal and Industrial Water Supplies (Ordinance S-48786)" infrastructure
6/15/2022 "Truncated Dome Tiles - IFB 63-2205 - Request for Award (Ordinance S-48785)" infrastructure
6/15/2022 "2015-20 Consolidated Plan's 2019 Annual Action Plan CARES Act Amendment (Ordinance S-48784)" welfare
6/15/2022 "APS Solar Communities Program Implementation at Affordable Housing Properties (Ordinance S-48783)" welfare
6/15/2022 "Statista Inc." welfare
6/15/2022 "Prolifics Inc" economy
6/15/2022 "Authorization to Enter into an Agreement with the Maricopa County Sheriff's Office for Detention Officer Training (Ordinance S-48782)" welfare
6/15/2022 "Head Start Birth to Five Education Service Providers and Child Care Partners Contracts - Amendments (Ordinance S-48781)" welfare
6/15/2022 "Internal Vending Services for the City of Phoenix Aviation Department - Amendment (Ordinance S-48780)" infrastructure
6/15/2022 "Ground Lease Amendment with Arizona Air National Guard at Phoenix Sky Harbor International Airport (Ordinance S-48779)" infrastructure
6/15/2022 "Final Plat - Larkey Subdivision - PLAT 210037 - North of South Mountain Avenue and East of 23rd Avenue" infrastructure
6/15/2022 "Recreational Services Qualified Vendors List - PKS RFQu-22-001 (Ordinance S-48778)" environment
6/15/2022 "Authorization to Enter into a Section 214 Agreement between the City of Phoenix and U.S. Army Corps of Engineers to Expedite 33 U.S.C. 408 Permitting on City Projects (Ordinance S-48777)" infrastructure
6/15/2022 "Police Crime Lab HVAC/BAS Upgrade - Engineering Services - PW26480024 (Ordinance S-48776)" law
6/15/2022 "Telecommunications Services and Interstate Telecommunications Services License with MCImetro Access Transmission Services LLC dba Verizon Access Transmission Services (Ordinance S-48775)" infrastructure
6/15/2022 "Salt River Project Design and Construction Contracts for 48th Street, Baseline Road to South Pointe Parkway - ST85100355 (Ordinance S-48774)" infrastructure
6/15/2022 "Custodial Services at Human Services Department Facilities (Ordinance S-48773)" law
6/15/2022 "Entrepreneurship Consulting Services Agreement - Requirements Contract (Ordinance S-48772)" economy
6/15/2022 "Settlement of Claim(s) Murangira v. City of Phoenix" infrastructure
6/15/2022 "Final Plat - Kierland Commerce South - Lot 1 - PLAT 210089 - Southeast Corner of Greenway Parkway and Kierland Blvd." infrastructure
6/15/2022 "Settlement of Claim(s) Gabil v. City of Phoenix" infrastructure
6/15/2022 "Final Plat - PV Mixed Use Area - PLAT 210075 - Northwest Corner of Tatum Boulevard and Cactus Road" infrastructure
6/15/2022 "Final Plat - Thunderbird Business Center - Lot 1 - PLAT 220018 - South of Thunderbird Road and West of Scottsdale Road" economy
6/15/2022 "Final Plat - Desert Sunsets at South Mountain - PLAT 210106 - Northeast Corner of 19th Street and Dobbins Road" infrastructure
6/15/2022 "Apple, Inc." economy
6/15/2022 "48th Street: South Pointe Parkway to Baseline Road - Design-Build Services Amendment - ST85100355 (Ordinance S-48771)" infrastructure
6/15/2022 "Authorization to Issue Request for Pricing and Contract with Energy Firms" infrastructure
6/15/2022 "Local First Arizona Foundation doing business as Local First Arizona" welfare
6/15/2022 "Golf Range Netting and Repairs Contract RFP 22-104 - Request for Award (Ordinance S-48770)" government
6/15/2022 "Early Childhood Education Expansion (Ordinance S-48769)" welfare
6/15/2022 "Fiscal Year 2022-27 Public Art Plan" infrastructure
6/15/2022 "WateReuse Association - Annual Payment Authority" welfare
6/15/2022 "National Association of Clean Water Agencies - Annual Payment Authority" welfare
6/15/2022 "Northern Arizona Wind & Sun Inc." infrastructure
6/15/2022 "Western Urban Water Coalition - Annual Payment Authority" infrastructure
6/15/2022 "Water Research Foundation - Annual Payment Authority" welfare
6/15/2022 "Association of Metropolitan Water Agencies - Annual Payment Authority" infrastructure
6/15/2022 "Mayo Clinic Arizona" welfare
6/15/2022 "American Water Works Association - Annual Payment Authority" welfare
6/15/2022 "Arizona State Parks Heritage Grant for Rehabilitation of the Edison Impact Hub City-Owned Property (Ordinance S-48768)" infrastructure
6/15/2022 "Hardware and Software Maintenance for Mug Photo Workstations - ADSPO 13-038745 - Amendment (Ordinance S-48767)" environment
6/15/2022 "Maintenance Services for Water Services Department Zeta Potential Analyzers - Amendment (Ordinance S-48766)" infrastructure
6/15/2022 "Computer Hardware and Support Services - COOP 21-031 - Additional Funds (Ordinance S-48765)" welfare
6/15/2022 "Final Plat - Laveen Place - PLAT 220016 - Northwest Corner of Baseline Road and 75th Avenue" informal
6/15/2022 "Final Plat - Sonoran BTR - PLAT 220006 - Southwest Corner of Bronco Butte Trail and North Valley Parkway" infrastructure
6/15/2022 "QCM Technologies Inc" economy
6/15/2022 "Adoption of the Final 2022-23 Capital Funds Budget (Ordinance S-48764)" welfare
6/15/2022 "Amend Ordinance S-47690 Adopting the 2021-22 Capital Funds Budget (Ordinance S-48763)" welfare
6/15/2022 "Final Plat - Starbucks Lincoln Town Center - PLAT 210061 - South of Lincoln Drive and West of 32nd Street" infrastructure
