8/9/2022 "ADU Task Force Update" "foreign policy"
8/7/2022 "Approves a map amendment to rezone property from C-MX-3 to G-RX-5, located at 3400 East Bayaud Avenue and 121 South Madison Street in Council District 10." infrastructure
8/7/2022 "Approves a map amendment to rezone property from U-SU-C to U-SU-C1, located at 1818 South Humboldt Street in Council District 6." infrastructure
8/7/2022 "Approves a map amendment to rezone property from U-SU-C to U-SU-C1, located at 1350 South York Street in Council District 6." infrastructure
8/7/2022 "Approves the Mayoral reappointment of Steven McCarthy to the National Western Center Authority Board of Directors for a term effective immediately and expiring 12-31-2026, or until a successor is duly appointed." infrastructure
8/7/2022 "Approves a purchase order with McCandless Truck Center, LLC for $762,328.65 for five (5) 2024 HV613 6x4 SBA Cab/Chassis trucks to support operations at Denver International Airport in Council District 11 (PO-00118767)." economy
8/1/2022 "Amends the agreement with Spector Development, LLC to correct the legal description, allow 3 residential units to be converted from rental to for-sale, modify affordability requirements of residential rental and for-sale income-qualified units, adjust the loan terms, allow an assumption of the loan, forgive $240,000 default interest, and change the subordination limit for a mixed-use development located at 910 Santa Fe Drive in Council District 3 (HOST-202161652-04)." infrastructure
8/5/2022 "Approving the City Council reappointment of Jesse Ogas to the Caring for Denver Board." infrastructure
8/1/2022 "Approves a purchase and sale agreement with Light Bulb Supply Building, LLC for $15,500 for the sale of a 1,209 sf remnant parcel, located at 2050 Wewatta Street in Council District 9 (FINAN-202264115)." infrastructure
8/1/2022 "Approves a Cooperation Agreement with the Denver Urban Renewal Authority for the South Sun Valley Homes Property Tax Increment Area to establish, among other matters, the parameters for tax increment financing with incremental property taxes in Council District 3 (FINAN-202264256)." welfare
8/1/2022 "Approves the Sun Valley Homes Urban Redevelopment Plan authorizing the creation of an Urban Redevelopment Area and property tax increment area." welfare
8/1/2022 "Approves the Mayoral appointment of Margaret Danuser as Executive Director of the Department of Finance, pursuant to Charter Section § 2.2.6 (D)." infrastructure
8/1/2022 "Approves a Master Purchase Order with Galls, LLC for $2,500,000 and three years, plus two 1-year options to extend, to purchase uniforms and related uniform accessories for the Denver Sheriff Department (MPO SC-00007105)." law
8/3/2022 "A resolution authorizing and approving the expenditure and payment from the appropriation account designated “liability claims,” the sum of nineteen thousand five hundred dollars and zero cents ($19,500.00), made payable to Dana Lindsay and The Law Offices of Daniel R. Rosen, P.C., in full payment and satisfaction of any and all claims related to Claim Number 2006-001383 arising from a motor vehicle accident which occurred on April 8, 2020.  
Settles a claim involving the Department of Transportation and Infrastructure. This item was approved for filing at the Mayor-Council meeting on 8-2-2022" infrastructure
8/3/2022 "A resolution authorizing and approving the expenditure and payment from the appropriation account designated “liability claims,” the sum of twenty-five thousand dollars ($25,000.00) made payable to Joseph Baffoni and Arthur B. Walsh, LLC, in full payment and satisfaction of all claims related to the civil action captioned Joseph Baffoni v. Fernando Valdez, et al., Case No. 2021CV30991 which was filed in the Denver County District Court, State of Colorado.
Settles a claim involving the Department of Transportation and Infrastructure. This item was approved for filing at the Mayor-Council meetin" infrastructure
8/3/2022 "A resolution authorizing and approving the expenditure and payment from the appropriation account designated “liability claims,” the total sum of nineteen thousand eight hundred dollars and zero cents ($19,800.00) to be distributed as follows: payment of the sum of fourteen thousand four hundred dollars and zero cents ($14,400.00) made payable to Balaban Law, LLC Settlement Account on behalf of Vanessa Cruz Herrera and payment of the sum of five thousand four hundred dollars and zero cents ($5,400.00) made payable to  Balaban Law, LLC Settlement Account on behalf of Ivan Cruz Herrera, in full" infrastructure
8/3/2022 "A resolution authorizing and approving the expenditure and payment from the appropriation account designated “liability claims,” the sum of fifty thousand dollars ($50,000.00) made payable to Larson Larimer Schneider and Nora Elissaoui, in full payment and satisfaction of all claims related to the civil action captioned Nora Elissaoui v. David O Martinez, et al., Case No. 2021CV32746 which was filed in the Denver County District Court, State of Colorado.
Settles a claim involving the Denver Police Department. This item was approved for filing at the Mayor-Council meeting on 7-26-2022." infrastructure
8/1/2022 "Amends a contract with SCI Colorado Funeral Services, LLC by adding $225,000 for a new total $793,000 and one year for a new end date of 10-19-2023 for corpse removal and transportation services supporting the Office of the Medical Examiner, citywide (ENVHL-202263401-03)." welfare
8/1/2022 "Approves a contract with Brothers Redevelopment, Inc. for $1,000,000 and through 6-30-2023 to administer the Emergency Rental Assistance Program (ERAP) to eligible households earning up to 80% of the area median income that are unable to pay rent during or due to the COVID-19 pandemic, citywide (HOST-202263902)." welfare
8/1/2022 "Approves a contract with Impact Charitable for $2,000,000 and through 6-30-2024 to provide direct cash assistance as part of the Denver Basic Income Project to 140 women, transgendered and non-gender conforming individuals, and families experiencing homelessness, citywide (HOST-202263678)." welfare
8/2/2022 "Reimagining Policing and Public Safety Task Force Executive Branch Update" law
8/2/2022 "IDDEAS Mill Levy" economy
8/1/2022 "Amends a contract with Mile High Council on Alcoholism and Drug Abuse, doing business as Mile High Behavioral Healthcare, by adding $298,546.80 for a new total of $806,717.85 and one year for a new end date of 6-30-2023 to continue to provide appropriate screenings, assessments, brief intervention, and linkage to care in the community, based on an individualized treatment and/or transition plan as part of the Recovery in a Secure Environment (RISE) program (SHERF-202263682)." welfare
8/1/2022 "Approves a grant agreement with the United States Department of Housing and Urban Development for $1,053,953 and through 6-30-2023 for the Continuum of Care Spectrum program to assist individuals who are experiencing chronic homelessness, citywide (HOST 202264004)." welfare
7/28/2022 "Approves a grant agreement with the United States Department of Housing and Urban Development for $742,503 and through 10-31-23 for the Continuum of Care Bedrock program to support permanent supportive housing for individuals experiencing homelessness, citywide (HOST 202264005)." welfare
8/2/2022 "Denver International Airport P3 Great Hall After Action Report" infrastructure
8/1/2022 "Amends a concession agreement with Mission Yogurt, Inc., doing business as Root Down, at Denver International Airport, to include required provisions regarding Title VI and non-discrimination, as mandated by the United States federal government in contracts. No other change to agreement terms (202262573-02)." welfare
8/1/2022 "Approves an on-call contract with HNTB Corporation for $1,650,000 and 3-years, plus two 1-year options to extend, for architectural, engineering, planning design and other professional services for the Planning and Design Department at Denver International Airport in Council District 11 (202158667)." infrastructure
8/1/2022 "Approves an on-call contract with RS&H, Inc. for $1,650,000 and 3-years, plus two 1-year options to extend, for architectural, engineering, planning design and other professional services for the Planning and Design Department at Denver International Airport in Council District 11 (202262919)." infrastructure
8/1/2022 "Approves an on-call contract with Jacobs Engineering Group, Inc. for $1,650,000 and 3-years, plus two 1-year options to extend, for architectural, engineering, planning design and other professional services for the Planning and Design Department at Denver International Airport in Council District 11 (202262918)." infrastructure
8/1/2022 "Approves an on-call contract with Studiotrope, LLC for $750,000 and 3-years, plus two 1-year options to extend, for architectural, engineering, planning design and other professional services for the Planning and Design Department at Denver International Airport in Council District 11 (202262640)." infrastructure
8/1/2022 "Approves an on-call contract with Studio Completiva, Inc. for $750,000 and 3-years, plus two 1-year options to extend, for architectural, engineering, planning design and other professional services for the Planning and Design Department at Denver International Airport in Council District 11 (202262641)." infrastructure
8/1/2022 "Approves an on-call contract with The ABO Group for $750,000 and 3-years, plus two 1-year options to extend, for architectural, engineering, planning design and other professional services for the Planning and Design Department at Denver International Airport in Council District 11 (202158668)." infrastructure
8/1/2022 "Amends the lease agreement rates and charges with AlClear, Inc. to relocate AlClear’s office and employee breakroom, in response to the South security checkpoint expansion project at Denver International Airport in Council District 11 (202261770)." infrastructure
8/1/2022 "Approves a contract with Sturgeon Electric Company, Inc. for $3,580,868 and one year for the reconstruction of seven (7) traffic signals and the installation of one (1) new signal, as well as related repairs and upgrades to curbs and sidewalks to enhance pedestrian safety in Council Districts 9 and 10 (202263040)." infrastructure
8/1/2022 "Relinquishes a portion of an easement established in the Vacating Ordinance No. 25, Series of 1924, located at North Albion Street between East 13th Avenue and East 14th Avenue in Council District 5." environment
8/1/2022 "Revives and amends a sub-award agreement with Denver Health and Hospital Authority to add 18 months for a new end date of 12-31-2023 to provide allowed managements costs associated with implementing the FEMA public assistance grant program for Covid-19 response, citywide. No change to other contract terms (FINAN-202264116-02 (202054689-02))." welfare
8/1/2022 "Amends an on-call contract with Atkins North America to add $30,000,000 for a new contract total of $61,000,000 and five years for a new end date of 2-11-2028 for Elevate and RISE Denver Bond program management services, citywide (201839791)." infrastructure
8/1/2022 "Approves the following Mayoral reappointments and appointments to the Denver Health and Hospital Authority board of directors: reappointment of Patti Klinge for a term effective immediately and expiring 6-30-2026, or until a successor is duly appointed; reappointment of Frank deGruy, M.D. for a term effective immediately and expiring 6-30-2027, or until a successor is duly appointed; appointments of Douglas Friednash, Danielle Shoots, and Kathy Nesbitt for terms effective immediately and expiring on 6-30-2027, or until a successor is duly appointed." infrastructure
8/1/2022 "Approves the Mayoral reappointment of Olivia Almaguer to the Denver Women's Commission for a term effective immediately and expiring 6-30-2024, or until a successor is duly appointed." law
8/1/2022 "Approves a Master Purchase Order with Ingram Library Services, LLC for $11,000,000 and through 6-30-2027 to purchase books, audiobooks and DVDs for circulation at Denver Public Library branch locations, citywide (SC-00006766)." welfare
8/1/2022 "Approves the Mayoral appointments of Kesia Culbertson and Kenny Williams to the Denver Commission on Aging for terms effective immediately and expiring 8-31-2025, or until a successor is duly appointed." welfare
7/28/2022 "A proclamation celebrating RTD’s “Zero Fare for Better Air” in August 2022." infrastructure
7/28/2022 "A proclamation honoring Senior Policy Analyst Zachary (Zach) Rothmier’s years of service to the Denver City Council and the City and County of Denver." welfare
7/28/2022 "CPD - Adaptive Reuse Program" welfare
7/28/2022 "A resolution authorizing and approving the expenditure and payment from the appropriation account designated “liability claims,” the sum of ninety-five thousand dollars and no cents ($95,000.00) made payable to Timothy Nelson and Franklin D. Azar and Associates, P.C., in full payment and satisfaction of all claims related to the civil action captioned Timothy Nelson v. Joshua Valerio and the City and County of Denver, which was filed in the Arapahoe County District Court, Case No. 2021-CV-30733.
Settles a claim involving the Denver Police Department. This item was approved for filing at the M" infrastructure
7/24/2022 "Amends the Classification and Pay Plan by adjusting the pay ranges by 2.1% based on the annual market analysis." economy
7/24/2022 "Amends the Classification and Pay Plan by changing the pay grade of Workday Analyst Specialist from EX-12 to EX-13." economy
7/24/2022 "A resolution approving a proposed Agreement between the City and County of Denver and Zivaro, Inc. to purchase on-demand data storage to support the City's data storage needs.
Approves a contract with Zivaro, Inc. for $1,750,000 and for three years to purchase on-demand data storage to support the City's data storage needs, citywide (TECHS-202263433)." welfare
7/24/2022 "A resolution approving a proposed Agreement between the City and County of Denver and LCPTracker, Inc. to provide certified payroll software as required by law for the enforcement of the City's prevailing wage.
Approves a contract with LCPTracker, Inc. for $689,364 and through 12-31-2026 to provide certified payroll software as required by law for the enforcement of the City’s prevailing wage, citywide (AUDIT-202160376)." welfare
7/24/2022 "Approves a grant agreement with the United States Department of Homeland Security for $5,700,000 and through 6-30-2022 for the FY21 Securing the Cities (STC) program and funding in efforts to protect the City from radiological/nuclear threats (MOOEM-202262976)." welfare
7/25/2022 "A bill for an ordinance amending the City’s Retail Sales Tax Article, Article II, Chapter 53 of the Denver Revised Municipal Code and the City’s Use Tax Article, Article III, Chapter 53 of the Denver Revised Municipal Code to exempt from taxation certain fees.
Amends Chapter 53 of the Denver Revised Municipal Code to create a sales tax and use tax exemption for certain government fees." infrastructure
7/25/2022 "Establishes a new capital improvement fund, the Globeville TIF Improvements Fund (38381), within the Grant and Other Money Projects Fund Series to accompany the Project Funding Agreement for Globeville improvements between Adams County, City and County of Denver, and Denver Urban Renewal Authority for use of tax increment revenues on transportation and mobility projects." welfare
7/25/2022 "A bill for an ordinance approving a proposed Project Funding Agreement among the City and County of Denver, Adams County, and Denver Urban Renewal Authority related to the use of tax increment revenues from the Globeville Commercial Urban Redevelopment Area for four transportation and mobility projects.
Approves an Intergovernmental Project Funding Agreement for Globeville improvements among Adams County, City and County of Denver, and Denver Urban Renewal Authority related to the use of tax increment revenues from the Globeville Commercial Urban Redevelopment Area for four transportation and" infrastructure
7/24/2022 "Approves the Mayoral appointment of Alex Barakos to the Colfax Business Improvement District Board of Directors for a term effective immediately and expiring 3-31-2025, or until a successor is duly appointed." infrastructure
7/24/2022 "Authorizes the City to decline employer participation in the State Family and Medical Leave Insurance Program (FAMLI) in favor of implementing a City administered alternative plan established through career service rules or respective collective bargaining agreements, effective 1-1-2023, citywide." economy
7/26/2022 "CASR Affordable Home Electrification Contracts" welfare
7/25/2022 "Establishes the Volume-Based Trash Pricing Program Special Revenue Fund in the General Government Fund Series and appropriates $10 million in the Fund to support implementation costs in 2022 to allow for the Volume-Based Trash Pricing program to launch in January of 2023, as previously authorized by City Council through Ordinance No. 685, Series of 2022." infrastructure
7/25/2022 "A resolution approving a proposed Second Amendatory Agreement between the City and County of Denver and Wilson & Company, Inc., Engineers & Architects, for continued professional design services for the Connecting Auraria project.
Amends a contract with Wilson & Company, Inc. Engineers & Architects by adding $116,195 for a new contract total of $1,043,893.23 for continued professional design services for the replacement of the Larimer Street bridge over Cherry Creek, the upgrade of signals at the Larimer and Speer intersections, and associated landscaping and water quality as part of the Eleva" infrastructure
7/25/2022 "A resolution approving a proposed Amendatory Agreement between the City and County of Denver and Muller Engineering Company, Inc. for continued professional engineering design services for the West Colfax Pedestrian and Transit Improvement Project, located in Council Districts 1 and 3.
Amends a contract with Muller Engineering Company, Inc. to add $19,852 for a new contract total of $989,852 and twenty months for a new end date of 5-19-2024 for continued professional engineering design services for the West Colfax Pedestrian and Transit Improvement Project, located in Council Districts 1 and 3" welfare
7/25/2022 "Approves a contract with Hamon Infrastructure, Inc. for $14,260,000 and one-year to complete the South Broadway Multimodal Improvement Project as part of the Elevate Denver Bond program, located in Council District 7 (202262166)." infrastructure
7/25/2022 "A resolution granting a revocable permit to Metro Water Recovery, to encroach into the right-of-way at 4420 Cahita Court.
Grants a revocable permit, subject to certain terms and conditions, to Metro Water Recovery, their successors and assigns, to encroach into the right-of-way with a six (6) foot high fence around the wastewater monitoring station at 4420 Cahita Court, located in Council District 9." infrastructure
7/25/2022 "Amends a concessions agreement with EL-ROI, LLC, doing business as Rocky Mountain Chocolate Factory, to add 3 years for a new end date of 9-30-2024 as a COVID-19 relief measure provided to all eligible concessionaires in recognition of the effects of the pandemic on food and beverage services at Denver International Airport in Council District 11. No change to other contract terms (202159807)." welfare
7/25/2022 "Amends a concessions agreement with Concessions Colorado, LLC, doing business as Sweetwater Mountain Taphouse, to add 3 years for a new end date of 9-1-2024 as a COVID-19 relief measure provided to all eligible concessionaires in recognition of the effects of the pandemic on food and beverage services at Denver International Airport in Council District 11. No change to other contract terms (202159764)." welfare
7/25/2022 "Amends a concessions agreement with El-ROI, LLC, doing business as Hotch Potch, to add 3 years for a new end date of 9-1-2024 as a COVID-19 relief measure provided to all eligible concessionaires in recognition of the effects of the pandemic on food and beverage services at Denver International Airport in Council District 11. No change to other contract terms (202159758)." welfare
7/25/2022 "Amends a concessions agreement with CI/Wystone, LLC, doing business as Heidi's Brooklyn Deli, to add 3 years for a new end date of 6-30-2025 as a COVID-19 relief measure provided to all eligible concessionaires in recognition of the effects of the pandemic on food and beverage services at Denver International Airport in Council District 11. No change to other contract terms (202159820-01)." welfare
7/25/2022 "Approves a map amendment to rezone property from E-SU-Dx to E-SU-D1x, located at 2910 North Fairfax Street in Council District 8." infrastructure
7/24/2022 "Approves a purchase order with Twist Aero, LLC for $1,273,406.04 for twelve (12) electric pre-conditioned air units for various gates at Denver International Airport in Council District 11 (PO-00118381)." infrastructure
7/24/2022 "Approves a contract with BlocPower, LLC for $2,000,000 and through 8-31-2025 to run a turnkey home electrification program for 100 under-resourced multi-family homes, focusing on health and safety and including but not limited to program outreach, education, enrollment, implementation, and assessment, citywide (CASR-202263938)." welfare
7/24/2022 "Approves a contract with Energy Outreach Colorado Efficiency, LLC for $4,000,000 and through 8-31-2025 to run a turnkey home electrification program for 100 under-resourced single-family homes, focusing on health and safety and including but not limited to program outreach, education, enrollment, implementation, and assessment, citywide (CASR-202263932)." welfare
7/24/2022 "Approves a map amendment to rezone property from I-A, UO-2 to C-MS-5, located at 768 North Mariposa Street in Council District 3." infrastructure
7/24/2022 "Approves a map amendment to rezone property from E-SU-D and E-SU-Dx to E-SU-D1 and E-SU-D1x, located at 2356 South Gilpin Street and 2581 South High Street in Council District 6." infrastructure
7/24/2022 "A bill for an ordinance changing the zoning classification for 3275 and 3315 Denargo Street in Five Points.
Approves a map amendment to rezone property from I-B, UO-2 to C-MX-16, DO-7, located at 3275 and 3315 Denargo Street in Council District 9." infrastructure
7/24/2022 "Approves a purchase order with Joe Johnson Equipment, LLC for $837,244.95 to purchase three (3) Elgin Pelican NP Street Sweepers to support operations at Denver International Airport in Council District 11 (PO-00118262)." economy
7/21/2022 "A bill for an ordinance submitting to a vote of the registered electors of the City and County of Denver at a special municipal election to be held in conjunction with the coordinated election on November 8, 2022, a proposed amendment to the Charter of the City and County of Denver concerning signature requirements for an initiated ordinance.
Submitting to a vote of the registered electors of the City and County of Denver at a special municipal election to be held in conjunction with the coordinated election on November 8, 2022, a proposed amendment to the Charter of the City and County of De" infrastructure
7/21/2022 "A bill for an ordinance submitting to a vote of the registered electors of the City and County of Denver at a special municipal election to be held in conjunction with the coordinated election on November 8, 2022, a proposed amendment to the Charter of the City and County of Denver concerning election procedures.
Submitting to a vote of the registered electors of the City and County of Denver at a special municipal election to be held in conjunction with the coordinated election on November 8, 2022, a proposed amendment to the Charter of the City and County of Denver concerning election proce" infrastructure
7/11/2022 "Approves a grant agreement with the Colorado Department of Public Health and Environment (CDPHE) for $2,300,000 in CDPHE funds and a required City match of $2,300,000, for a total for $4,600,000, and through 1-31-2026 for the 2022 Front Range Waste Division grant to support citywide residential composting (202263721)." welfare
7/25/2022 "A resolution approving a proposed Fourth Amendatory Agreement between the City and County of Denver and Bayaud Enterprises, Inc.  to continue providing shelter staffing, client transportation and meal delivery support for shelters during the COVID-19 emergency, citywide.
Amends a contract with Bayaud Enterprises, Inc. to add six months for a new end date of 12-31-2022 to continue providing shelter staffing, client transportation and meal delivery support for shelters during the COVID-19 emergency, citywide. No change to contract amount (HOST-202263313)." welfare
7/24/2022 "A resolution approving a proposed Third Amendatory Agreement between the City and County of Denver and Sierra Detention Systems, Inc. to provide maintenance and support of video surveillance, access control, and duress alarms equipment at the Downtown Detention Center, County Jail, Lindsey Flanigan Courthouse and Roslyn Facility.
Amends a contract with Sierra Detention Systems, Inc. by adding $2,387,878 for a new contract total of $10,240,902 and two (2) years for a new end date of 12-31-2024 to provide maintenance and support of video surveillance, access control, and duress alarms equipment" welfare
7/25/2022 "Briefing on Ballot Access Modernization" government
7/21/2022 "A proclamation honoring the Dire Family and Bonnie Brae Tavern for 88 years of service to the community." welfare
7/21/2022 "A proclamation honoring Denver Chief Financial Officer Brendan Hanlon’s Service to Denver." economy
7/20/2022 "For an ordinance establishing a new dedicated property tax at the rate of 1.5 mills and dedicating the revenue derived from the tax to fund the Denver Public Library, and establishing a fund therefor, subject to the approval of the voters at a special municipal election to be conducted in conjunction with the coordinated election on November 8, 2022." infrastructure
7/19/2022 "A resolution approving a proposed lease Agreement between the City and County of Denver and Rocky Mountain Express, Ltd., concerning storage space in the Jeppesen Main Terminal at Denver International Airport.
Approves a lease agreement between Rocky Mountain Express, Ltd. for rates and charges and for 2-years, plus 3 one-year options to extend, for 637 square feet of space in Denver International Airport’s (DEN) Main Terminal for the purpose of temporarily storing lost luggage at Denver International Airport (DEN) in Council District 11 (202262657). The last regularly scheduled Council meetin" infrastructure
7/19/2022 "Denver Police Museum and Community Relations" law
7/19/2022 "Denver Food Systems" economy
7/18/2022 "A resolution approving and providing for the execution of a proposed Grant Agreement between the City and County of Denver and the United States of America Department of Health and Human Services concerning the “Ryan White Part A FY22” program and the funding therefor.
Approves a grant agreement with the United States Department of Health and Human Services for $7,789,733 and through 02-28-2023 concerning the Ryan White grant program part A response to provide care, treatment, and supportive services to persons living with HIV/AIDS in the Denver Transitional Grant Area (ENVHL-202263919-00). T" welfare
7/17/2022 "A bill for an ordinance amending Chapter 22 of the Revised Municipal Code establishing salaries and benefits for command staff in the Denver Fire Department in 2023, 2024, and 2025. 
Amends Chapter 22 of the Denver Revised Municipal Code establishing salaries and benefits for command staff in the Denver Fire Department for 2023, 2024 and 2025 in accordance with approved collective bargaining agreements. The Committee approved filing this ordinance on 7-27-2022." infrastructure
7/17/2022 "Amends an on-call contract with Orion Environmental, Inc. by adding $4,000,000 for a new total of $5,000,000 and two years for a new end date of 6-9-2025 for general abatement contractor services for asbestos, lead-based paint and mold abatement activities at city owned or operated properties, citywide (ENVHL- 202054420)." welfare
7/17/2022 "Amends an on-call contract with Oak Environmental, LLC by adding $4,000,000 for a new total of $5,000,000 and two years for a new end date of 6-10-2025 for general abatement contractor services for asbestos, lead-based paint and mold abatement activities at city owned or operated properties, citywide (ENVHL- 202054516)." welfare
7/17/2022 "Amends an on-call contract with JKS Industries, LLC by adding $4,000,000 for a new total of $5,000,000 and two years for a new end date of 6-6-2025 for general abatement contractor services for asbestos, lead-based paint and mold abatement activities at city owned or operated properties, citywide (ENVHL- 202054421)." welfare
7/17/2022 "A resolution approving a proposed Amendatory Agreement between the City and County of Denver and ARC Abatement, Inc. for general abatement contractor services for asbestos, lead-based paint and mold abatement activities at city owned or operated properties.
Amends an on-call contract with ARC Abatement, Inc. by adding $4,000,000 for a new total of $5,000,000 and two years for a new end date of 6-7-2025 for general abatement contractor services for asbestos, lead-based paint and mold abatement activities at city owned or operated properties, citywide (ENVHL- 202054527)." welfare
7/17/2022 "Amends an on-call contract with WSP USA, INC. by adding $550,000 for a new total of $1,000,000 for professional services related to environmental abatement and remediation activities at city-owned or operated properties, citywide. No change to contract duration. (ENVHL- 202158612)." infrastructure
7/17/2022 "A resolution approving a proposed Amendatory Agreement between the City and County of Denver and Ayuda Companies for professional services related to environmental abatement and remediation activities at city-owned or operated properties.
Amends an on-call contract with Ayuda Companies by adding $550,000 for a new total of $1,000,000 for professional services related to environmental abatement and remediation activities at city-owned or operated properties, citywide. No change to contract duration. (ENVHL- 202158640)." welfare
7/17/2022 "A resolution approving a proposed Amendatory Agreement between the City and County of Denver and Apex Companies, LLC for professional services related to environmental abatement and remediation activities at city-owned or operated properties.
Amends an on-call contract with APEX Companies, LLC by adding $550,000 for a new total of $1,000,000 for professional services related to environmental abatement and remediation activities at city-owned or operated properties, citywide. No change to contract duration. (ENVHL- 202158620)." welfare
7/17/2022 "A resolution laying out, opening and establishing as part of the City street system a parcel of land as South Colorado Boulevard located at the intersection of South Colorado Boulevard and East Iliff Avenue.
Dedicates a parcel of land as public right-of-way as South Colorado Boulevard, located at the intersection of South Colorado Boulevard and East Iliff Avenue in Council District 4. The Committee approved filing this item at its meeting on 7-26-2022." infrastructure
7/18/2022 "A resolution approving a proposed Amendatory Agreement between the City and County of Denver and Slalom, LLC to continue work on the Salesforce platform for major strategic initiatives that rely on business intelligence, information, and communication technology services.
Amends an on-call technology services agreement with Slalom, LLC by adding $5,000,000 for a new total of $10,000,000 and 3 years for a new end date of 12-31-2026 to continue work on the Salesforce platform for major strategic initiatives that rely on business intelligence, information, and communication technology services," welfare
7/18/2022 "A resolution approving a proposed Master Purchase Order between the City and County of Denver and Dabico Airport Solutions, Incorporated concerning OEM jet bridge replacement parts used at Denver International Airport.
Approves a Master Purchase Order with Dabico Airport Solutions, Incorporated for $1,800,000 and for 10 months, with three possible annual renewal options, for OEM jet bridge replacement parts used at Denver International Airport (DEN) in Council District 11 (SC-00006914). The last regularly scheduled Council meeting within the 30-day review period is on 8-29-2022. The Committee" infrastructure
7/18/2022 "A resolution approving a proposed Amendatory Agreement between the City and County of Denver and Subway Real Estate, LLC to change the rate structure, reducing rent by $10,800.72 for a new total of $173,249.40 to account for reduced foot traffic during the pandemic recovery, located in the Justice Center Garage in Council District 10.
Amends the lease agreement with Subway Real Estate, LLC to change the rate structure, reducing rent by $10,800.72 for a new total of $173,249.40 to account for reduced foot traffic during the pandemic recovery, located in the Justice Center Garage in Council Dist" welfare
7/18/2022 "A resolution approving a proposed Amendatory Agreement between the City and County of Denver and Subway Real Estate, LLC to change the rate structure, reducing rent by $47,185.50 for a new total of $534,806.71 to account for reduced foot traffic during the pandemic recovery, located in the Webb Building in Council District 9.
