	1	2	3	Province or Territory	Constituency	Candidate	Gender	Occupation	Political Affiliation	Result	Votes	Image URL
				Alberta	Battle River--Crowfoot	Michaud, David A.	Man	Security Service	People's Party of Canada	Defeated	1620	https://lop.parl.ca/Candidate/12790_tu.jpg
				Alberta	Bow River	Shields, Martin	Man	Parliamentarian	Conservative Party of Canada	Elected	46279	https://lop.parl.ca/ParlInfoPic/18412/11109.jpg
				Alberta	Bow River	Rhemtulla, Margaret	Woman	Retired	Liberal Party of Canada	Defeated	3173	https://lop.parl.ca/Candidate/12877_tu.jpg
				Alberta	Bow River	Macwilliam, Lynn	Woman	Retired	New Democratic Party	Defeated	3086	https://lop.parl.ca/Candidate/12876_tu.jpg
				Alberta	Bow River	Ikert, Tom	Man	Carpenter	People's Party of Canada	Defeated	1321	https://lop.parl.ca/Candidate/12874_tu.jpg
				Alberta	Bow River	Tuithof de Jonge, Hendrika Maria	Woman	Social Worker	Green Party of Canada	Defeated	826	https://lop.parl.ca/Candidate/12879_tu.jpg
				Alberta	Bow River	Lipp, Tom	Man	Financial Advisor	Christian Heritage Party of Canada	Defeated	453	https://lop.parl.ca/Candidate/12875_tu.jpg
				Alberta	Calgary Centre	McLean, Greg	Man	Portfolio Manager	Conservative Party of Canada	Elected	37306	https://lop.parl.ca/ParlInfoPic/20092/11228.jpg
				Alberta	Calgary Centre	Hehr, Kent	Man	Parliamentarian	Liberal Party of Canada	Defeated	17771	https://lop.parl.ca/ParlInfoPic/18413/10223.jpg
				Alberta	Calgary Centre	Buresi, Jessica	Woman	Teacher	New Democratic Party	Defeated	6516	https://lop.parl.ca/Candidate/12970_tu.jpg
				Alberta	Calgary Centre	Boonlert, Thana	Man	Environmental Engineer	Green Party of Canada	Defeated	2853	https://lop.parl.ca/Candidate/12969_tu.jpg
				Alberta	Calgary Centre	Johnston, Chevy	Man	Commodity Broker	People's Party of Canada	Defeated	907	https://lop.parl.ca/Candidate/12973_tu.jpg
				Alberta	Calgary Centre	Gould, Eden	Woman	Health Coach	Animal Protection Party of Canada	Defeated	247	https://lop.parl.ca/Candidate/12971_tu.jpg
				Alberta	Calgary Centre	Pewtress, Michael	Man	Media Producer	Independent	Defeated	138	https://lop.parl.ca/Candidate/12976_tu.jpg
				Alberta	Calgary Centre	Pawlowski, Dawid	Man	Preacher	Christian Heritage Party of Canada	Defeated	126	https://lop.parl.ca/Candidate/12975_tu.jpg
				Alberta	Calgary Confederation	Webber, Len	Man	Parliamentarian	Conservative Party of Canada	Elected	36312	https://lop.parl.ca/ParlInfoPic/18414/11122.jpg
				Alberta	Calgary Confederation	Stein, Jordan	Woman	Entrepreneur	Liberal Party of Canada	Defeated	14908	https://lop.parl.ca/Candidate/12982_tu.jpg
				Alberta	Calgary Confederation	Sidhu, Gurcharan Singh	Man	Transportation	New Democratic Party	Defeated	7312	https://lop.parl.ca/Candidate/12981_tu.jpg
				Alberta	Calgary Confederation	Odd, Natalie	Woman	Executive Management	Green Party of Canada	Defeated	5700	https://lop.parl.ca/Candidate/12980_tu.jpg
				Alberta	Calgary Confederation	Korol, Colin	Man	Working Leader / Service Worker	People's Party of Canada	Defeated	1136	https://lop.parl.ca/Candidate/12978_tu.jpg
				Alberta	Calgary Confederation	Moen, Tim	Man	Firefighter	Libertarian Party of Canada	Defeated	407	https://lop.parl.ca/Candidate/12979_tu.jpg
				Alberta	Calgary Confederation	Hunter, Kevan	Man	Teacher	Marxist-Leninist Party of Canada	Defeated	117	https://lop.parl.ca/Candidate/12977_tu.jpg
				Alberta	Calgary Forest Lawn	Hallan, Jasraj Singh	Man	General Manager	Conservative Party of Canada	Elected	23805	https://lop.parl.ca/ParlInfoPic/20093/11374.jpg
				Alberta	Calgary Forest Lawn	Anand, Jag	Man	Medical Doctor	Liberal Party of Canada	Defeated	8690	https://lop.parl.ca/Candidate/12984_tu.jpg
				Alberta	Calgary Forest Lawn	Pimlott, Joe	Man	Community Liaison/Resolution Health Support Worker	New Democratic Party	Defeated	4227	https://lop.parl.ca/Candidate/12989_tu.jpg
				Alberta	Calgary Forest Lawn	Carnegie, William	Man	Project Manager	Green Party of Canada	Defeated	1318	https://lop.parl.ca/Candidate/12985_tu.jpg
				Alberta	Calgary Forest Lawn	Levesque, Dave	Man	Engineering Technologist	People's Party of Canada	Defeated	1089	https://lop.parl.ca/Candidate/12987_tu.jpg
				Alberta	Calgary Forest Lawn	Nichols, Brent	Man	Machine Operator	Independent	Defeated	388	https://lop.parl.ca/Candidate/12988_tu.jpg
				Alberta	Calgary Forest Lawn	Sutherland, Esther	Woman	Housewife	Christian Heritage Party of Canada	Defeated	222	https://lop.parl.ca/Candidate/12991_tu.jpg
				Alberta	Calgary Forest Lawn	Trautman, Jonathan	Man	Warehouse Labourer	Communist Party of Canada	Defeated	134	https://lop.parl.ca/Candidate/12992_tu.jpg
				Alberta	Calgary Forest Lawn	Ryder, William James	Man	Cross-border Truck Driver	Veterans Coalition Party of Canada	Defeated	91	https://lop.parl.ca/Candidate/12990_tu.jpg
				Alberta	Calgary Heritage	Benzen, Bob	Man	Businessman	Conservative Party of Canada	Elected	40817	https://lop.parl.ca/ParlInfoPic/18739/11126.jpg
				Alberta	Calgary Heritage	Forsyth, Scott	Man	Physician	Liberal Party of Canada	Defeated	8057	https://lop.parl.ca/Candidate/12994_tu.jpg
				Alberta	Calgary Heritage	Heffernan, Holly	Woman	Retired	New Democratic Party	Defeated	5278	https://lop.parl.ca/Candidate/12996_tu.jpg
				Alberta	Calgary Heritage	Tulick, Allie	Woman	Chemist	Green Party of Canada	Defeated	2027	https://lop.parl.ca/Candidate/12999_tu.jpg
				Alberta	Calgary Heritage	Hoeppner, Stephanie	Woman	Environmental Consultant	People's Party of Canada	Defeated	1123	https://lop.parl.ca/Candidate/12997_tu.jpg
				Alberta	Calgary Heritage	Mills, Hunter	Man	Entrepreneur	Independent	Defeated	228	https://lop.parl.ca/Candidate/12998_tu.jpg
				Alberta	Calgary Heritage	Heather, Larry R.	Man	Radio Show Producer	Christian Heritage Party of Canada	Defeated	185	https://lop.parl.ca/Candidate/12995_tu.jpg
