	1	2	3	Province or Territory	Constituency	Candidate	Gender	Occupation	Political Affiliation	Result	Votes	Image URL
				Alberta	Battle River--Crowfoot	Michaud, David A.	Man	Security Service	People's Party of Canada	Defeated	1620	https://lop.parl.ca/Candidate/12790_tu.jpg
				Alberta	Bow River	Shields, Martin	Man	Parliamentarian	Conservative Party of Canada	Elected	46279	https://lop.parl.ca/ParlInfoPic/18412/11109.jpg
				Alberta	Bow River	Rhemtulla, Margaret	Woman	Retired	Liberal Party of Canada	Defeated	3173	https://lop.parl.ca/Candidate/12877_tu.jpg
				Alberta	Bow River	Macwilliam, Lynn	Woman	Retired	New Democratic Party	Defeated	3086	https://lop.parl.ca/Candidate/12876_tu.jpg
				Alberta	Bow River	Ikert, Tom	Man	Carpenter	People's Party of Canada	Defeated	1321	https://lop.parl.ca/Candidate/12874_tu.jpg
				Alberta	Bow River	Tuithof de Jonge, Hendrika Maria	Woman	Social Worker	Green Party of Canada	Defeated	826	https://lop.parl.ca/Candidate/12879_tu.jpg
				Alberta	Bow River	Lipp, Tom	Man	Financial Advisor	Christian Heritage Party of Canada	Defeated	453	https://lop.parl.ca/Candidate/12875_tu.jpg
				Alberta	Calgary Centre	McLean, Greg	Man	Portfolio Manager	Conservative Party of Canada	Elected	37306	https://lop.parl.ca/ParlInfoPic/20092/11228.jpg
				Alberta	Calgary Centre	Hehr, Kent	Man	Parliamentarian	Liberal Party of Canada	Defeated	17771	https://lop.parl.ca/ParlInfoPic/18413/10223.jpg
				Alberta	Calgary Centre	Buresi, Jessica	Woman	Teacher	New Democratic Party	Defeated	6516	https://lop.parl.ca/Candidate/12970_tu.jpg
				Alberta	Calgary Centre	Boonlert, Thana	Man	Environmental Engineer	Green Party of Canada	Defeated	2853	https://lop.parl.ca/Candidate/12969_tu.jpg
				Alberta	Calgary Centre	Johnston, Chevy	Man	Commodity Broker	People's Party of Canada	Defeated	907	https://lop.parl.ca/Candidate/12973_tu.jpg
				Alberta	Calgary Centre	Gould, Eden	Woman	Health Coach	Animal Protection Party of Canada	Defeated	247	https://lop.parl.ca/Candidate/12971_tu.jpg
				Alberta	Calgary Centre	Pewtress, Michael	Man	Media Producer	Independent	Defeated	138	https://lop.parl.ca/Candidate/12976_tu.jpg
				Alberta	Calgary Centre	Pawlowski, Dawid	Man	Preacher	Christian Heritage Party of Canada	Defeated	126	https://lop.parl.ca/Candidate/12975_tu.jpg
				Alberta	Calgary Confederation	Webber, Len	Man	Parliamentarian	Conservative Party of Canada	Elected	36312	https://lop.parl.ca/ParlInfoPic/18414/11122.jpg
				Alberta	Calgary Confederation	Stein, Jordan	Woman	Entrepreneur	Liberal Party of Canada	Defeated	14908	https://lop.parl.ca/Candidate/12982_tu.jpg
				Alberta	Calgary Confederation	Sidhu, Gurcharan Singh	Man	Transportation	New Democratic Party	Defeated	7312	https://lop.parl.ca/Candidate/12981_tu.jpg
				Alberta	Calgary Confederation	Odd, Natalie	Woman	Executive Management	Green Party of Canada	Defeated	5700	https://lop.parl.ca/Candidate/12980_tu.jpg
				Alberta	Calgary Confederation	Korol, Colin	Man	Working Leader / Service Worker	People's Party of Canada	Defeated	1136	https://lop.parl.ca/Candidate/12978_tu.jpg
				Alberta	Calgary Confederation	Moen, Tim	Man	Firefighter	Libertarian Party of Canada	Defeated	407	https://lop.parl.ca/Candidate/12979_tu.jpg
				Alberta	Calgary Confederation	Hunter, Kevan	Man	Teacher	Marxist-Leninist Party of Canada	Defeated	117	https://lop.parl.ca/Candidate/12977_tu.jpg
				Alberta	Calgary Forest Lawn	Hallan, Jasraj Singh	Man	General Manager	Conservative Party of Canada	Elected	23805	https://lop.parl.ca/ParlInfoPic/20093/11374.jpg
				Alberta	Calgary Forest Lawn	Anand, Jag	Man	Medical Doctor	Liberal Party of Canada	Defeated	8690	https://lop.parl.ca/Candidate/12984_tu.jpg
				Alberta	Calgary Forest Lawn	Pimlott, Joe	Man	Community Liaison/Resolution Health Support Worker	New Democratic Party	Defeated	4227	https://lop.parl.ca/Candidate/12989_tu.jpg
				Alberta	Calgary Forest Lawn	Carnegie, William	Man	Project Manager	Green Party of Canada	Defeated	1318	https://lop.parl.ca/Candidate/12985_tu.jpg
				Alberta	Calgary Forest Lawn	Levesque, Dave	Man	Engineering Technologist	People's Party of Canada	Defeated	1089	https://lop.parl.ca/Candidate/12987_tu.jpg
				Alberta	Calgary Forest Lawn	Nichols, Brent	Man	Machine Operator	Independent	Defeated	388	https://lop.parl.ca/Candidate/12988_tu.jpg
				Alberta	Calgary Forest Lawn	Sutherland, Esther	Woman	Housewife	Christian Heritage Party of Canada	Defeated	222	https://lop.parl.ca/Candidate/12991_tu.jpg
				Alberta	Calgary Forest Lawn	Trautman, Jonathan	Man	Warehouse Labourer	Communist Party of Canada	Defeated	134	https://lop.parl.ca/Candidate/12992_tu.jpg
				Alberta	Calgary Forest Lawn	Ryder, William James	Man	Cross-border Truck Driver	Veterans Coalition Party of Canada	Defeated	91	https://lop.parl.ca/Candidate/12990_tu.jpg
				Alberta	Calgary Heritage	Benzen, Bob	Man	Businessman	Conservative Party of Canada	Elected	40817	https://lop.parl.ca/ParlInfoPic/18739/11126.jpg
				Alberta	Calgary Heritage	Forsyth, Scott	Man	Physician	Liberal Party of Canada	Defeated	8057	https://lop.parl.ca/Candidate/12994_tu.jpg
				Alberta	Calgary Heritage	Heffernan, Holly	Woman	Retired	New Democratic Party	Defeated	5278	https://lop.parl.ca/Candidate/12996_tu.jpg
				Alberta	Calgary Heritage	Tulick, Allie	Woman	Chemist	Green Party of Canada	Defeated	2027	https://lop.parl.ca/Candidate/12999_tu.jpg
				Alberta	Calgary Heritage	Hoeppner, Stephanie	Woman	Environmental Consultant	People's Party of Canada	Defeated	1123	https://lop.parl.ca/Candidate/12997_tu.jpg
				Alberta	Calgary Heritage	Mills, Hunter	Man	Entrepreneur	Independent	Defeated	228	https://lop.parl.ca/Candidate/12998_tu.jpg
				Alberta	Calgary Heritage	Heather, Larry R.	Man	Radio Show Producer	Christian Heritage Party of Canada	Defeated	185	https://lop.parl.ca/Candidate/12995_tu.jpg
	Parliament: 43 (Continued from the previous page. Continues on the next page)	Parliament: 43 (Continued from the previous page. Continues on the next page)	Parliament: 43 (Continued from the previous page. Continues on the next page)	Parliament: 43 (Continued from the previous page. Continues on the next page)	Parliament: 43 (Continued from the previous page. Continues on the next page)	Parliament: 43 (Continued from the previous page. Continues on the next page)	Parliament: 43 (Continued from the previous page. Continues on the next page)	Parliament: 43 (Continued from the previous page. Continues on the next page)	Parliament: 43 (Continued from the previous page. Continues on the next page)	Parliament: 43 (Continued from the previous page. Continues on the next page)	Parliament: 43 (Continued from the previous page. Continues on the next page)	
		Type of Election: General (Continued from the previous page. Continues on the next page)	Type of Election: General (Continued from the previous page. Continues on the next page)	Type of Election: General (Continued from the previous page. Continues on the next page)	Type of Election: General (Continued from the previous page. Continues on the next page)	Type of Election: General (Continued from the previous page. Continues on the next page)	Type of Election: General (Continued from the previous page. Continues on the next page)	Type of Election: General (Continued from the previous page. Continues on the next page)	Type of Election: General (Continued from the previous page. Continues on the next page)	Type of Election: General (Continued from the previous page. Continues on the next page)	Type of Election: General (Continued from the previous page. Continues on the next page)	
			Date of Election: 2019-10-21 Profile	Date of Election: 2019-10-21 Profile	Date of Election: 2019-10-21 Profile	Date of Election: 2019-10-21 Profile	Date of Election: 2019-10-21 Profile	Date of Election: 2019-10-21 Profile	Date of Election: 2019-10-21 Profile	Date of Election: 2019-10-21 Profile	Date of Election: 2019-10-21 Profile	
				Alberta	Calgary Midnapore	Kusie, Stephanie	Woman	Parliamentarian	Conservative Party of Canada	Elected	50559	https://lop.parl.ca/ParlInfoPic/18740/11294.jpg
				Alberta	Calgary Midnapore	Aalto, Brian	Man	Bus Driver	Liberal Party of Canada	Defeated	7507	https://lop.parl.ca/Candidate/13000_tu.jpg
				Alberta	Calgary Midnapore	Bhachu, Gurmit	Man	Educator	New Democratic Party	Defeated	6445	https://lop.parl.ca/Candidate/13001_tu.jpg
				Alberta	Calgary Midnapore	Stasila, Taylor	Woman	Shipper/Receiver	Green Party of Canada	Defeated	1992	https://lop.parl.ca/Candidate/13004_tu.jpg
				Alberta	Calgary Midnapore	Gao, Edward	Man	Engineer	People's Party of Canada	Defeated	1585	https://lop.parl.ca/Candidate/13002_tu.jpg
				Alberta	Calgary Nose Hill	Rempel Garner, Michelle	Woman	Parliamentarian	Conservative Party of Canada	Elected	38588	https://lop.parl.ca/ParlInfoPic/17843/11103.jpg
				Alberta	Calgary Nose Hill	Tsang, Josephine	Woman	Community Partnership Specialist	Liberal Party of Canada	Defeated	8703	https://lop.parl.ca/Candidate/13010_tu.jpg
				Alberta	Calgary Nose Hill	King, Patrick	Man	Softwear Developer	New Democratic Party	Defeated	5304	https://lop.parl.ca/Candidate/13007_tu.jpg
				Alberta	Calgary Nose Hill	Grossé, Jocelyn	Woman	Teacher	Green Party of Canada	Defeated	1554	https://lop.parl.ca/Candidate/13006_tu.jpg
				Alberta	Calgary Nose Hill	Lorencz, Kelly	Man	Correctional Officer	People's Party of Canada	Defeated	1089	https://lop.parl.ca/Candidate/13008_tu.jpg
				Alberta	Calgary Nose Hill	Askin, Peggy	Woman	Telecommunications Worker	Marxist-Leninist Party of Canada	Defeated	71	https://lop.parl.ca/Candidate/13005_tu.jpg
				Alberta	Calgary Rocky Ridge	Kelly, Pat	Man	Businessman	Conservative Party of Canada	Elected	48253	https://lop.parl.ca/ParlInfoPic/18415/11074.jpg
				Alberta	Calgary Rocky Ridge	Kathol, Todd	Man	Lawyer	Liberal Party of Canada	Defeated	13012	https://lop.parl.ca/Candidate/13011_tu.jpg
				Alberta	Calgary Rocky Ridge	LeBlanc Fortin, Nathan	Man	Cashier, Union Steward	New Democratic Party	Defeated	6051	https://lop.parl.ca/Candidate/13013_tu.jpg
				Alberta	Calgary Rocky Ridge	Wright, Catriona	Woman	Marketing and Special Events Assistant	Green Party of Canada	Defeated	2011	https://lop.parl.ca/Candidate/13016_tu.jpg
				Alberta	Calgary Rocky Ridge	Poulin, Tyler	Man	Electrician	People's Party of Canada	Defeated	1053	https://lop.parl.ca/Candidate/13014_tu.jpg
				Alberta	Calgary Rocky Ridge	Wang, Shaoli	Man	Geologist	Independent	Defeated	270	https://lop.parl.ca/Candidate/13015_tu.jpg
				Alberta	Calgary Shepard	Kmiec, Tom	Man	Parliamentarian	Conservative Party of Canada	Elected	58614	https://lop.parl.ca/ParlInfoPic/18416/11181.jpg
				Alberta	Calgary Shepard	Arnold, Del	Man	Cardiology Tech Supervisor	Liberal Party of Canada	Defeated	8644	https://lop.parl.ca/Candidate/13017_tu.jpg
				Alberta	Calgary Shepard	Smith, David Brian	Man	Labour Relations Officer	New Democratic Party	Defeated	6828	https://lop.parl.ca/Candidate/13020_tu.jpg
				Alberta	Calgary Shepard	Tanaka, Evelyn	Woman	Project Coordinator	Green Party of Canada	Defeated	2345	https://lop.parl.ca/Candidate/13021_tu.jpg
				Alberta	Calgary Shepard	Scott, Kyle	Man	Lawyer	People's Party of Canada	Defeated	1709	https://lop.parl.ca/Candidate/13019_tu.jpg
				Alberta	Calgary Signal Hill	Liepert, Ron	Man	Consultant	Conservative Party of Canada	Elected	44421	https://lop.parl.ca/ParlInfoPic/18417/11326.jpg
				Alberta	Calgary Signal Hill	Alatrash, Ghada	Woman	University Professor	Liberal Party of Canada	Defeated	9722	https://lop.parl.ca/Candidate/13023_tu.jpg
				Alberta	Calgary Signal Hill	Ahmed, Khalis	Man	Geologist	New Democratic Party	Defeated	5355	https://lop.parl.ca/Candidate/13022_tu.jpg
				Alberta	Calgary Signal Hill	Reid, Marco	Man	Insurance Adjustor	Green Party of Canada	Defeated	2139	https://lop.parl.ca/Candidate/13027_tu.jpg
				Alberta	Calgary Signal Hill	Squire, Gord	Man	Lawyer	People's Party of Canada	Defeated	1130	https://lop.parl.ca/Candidate/13028_tu.jpg
				Alberta	Calgary Signal Hill	Bassett, Christina	Woman	Support Worker	Rhinoceros Party of Canada	Defeated	511	https://lop.parl.ca/Candidate/13024_tu.jpg
				Alberta	Calgary Signal Hill	Dirk, Garry	Man	Business Owner	Christian Heritage Party of Canada	Defeated	200	https://lop.parl.ca/Candidate/13025_tu.jpg
				Alberta	Calgary Skyview	Sahota, Jag	Woman	Lawyer	Conservative Party of Canada	Elected	26533	https://lop.parl.ca/ParlInfoPic/20094/11270.jpg
				Alberta	Calgary Skyview	Naidoo, Nirmala	Woman	Director of Public Relations	Liberal Party of Canada	Defeated	14327	https://lop.parl.ca/Candidate/13035_tu.jpg
				Alberta	Calgary Skyview	Gill, Gurinder Singh	Man	Accountant	New Democratic Party	Defeated	7540	https://lop.parl.ca/Candidate/13033_tu.jpg
				Alberta	Calgary Skyview	Knutson, Signe	Woman	Artist/Painter	Green Party of Canada	Defeated	800	https://lop.parl.ca/Candidate/13034_tu.jpg
				Alberta	Calgary Skyview	Dhillon, Harry	Man	Senior Driver Instructor	People's Party of Canada	Defeated	603	https://lop.parl.ca/Candidate/13032_tu.jpg
				Alberta	Calgary Skyview	Alexander, Joseph	Man	Retired	Christian Heritage Party of Canada	Defeated	483	https://lop.parl.ca/Candidate/13029_tu.jpg
				Alberta	Calgary Skyview	Dawar, Harpreet Singh		IT Software Application Developer	Canada's Fourth Front	Defeated	136	https://lop.parl.ca/Candidate/13031_tu.jpg
				Alberta	Calgary Skyview	Blanchard, Daniel	Man	Grocery Worker	Marxist-Leninist Party of Canada	Defeated	130	https://lop.parl.ca/Candidate/13030_tu.jpg
				Alberta	Edmonton Centre	Cumming, James	Man	Executive	Conservative Party of Canada	Elected	22006	https://lop.parl.ca/ParlInfoPic/20105/11314.jpg
				Alberta	Edmonton Centre	Boissonnault, Randy	Man	Parliamentarian	Liberal Party of Canada	Defeated	17524	https://lop.parl.ca/ParlInfoPic/18419/10102.jpg
				Alberta	Edmonton Centre	Swampy, Katherine	Woman	Public Servant	New Democratic Party	Defeated	10959	https://lop.parl.ca/Candidate/13265_tu.jpg
				Alberta	Edmonton Centre	Murray, Grad	Man	Consultant	Green Party of Canada	Defeated	1394	https://lop.parl.ca/Candidate/13263_tu.jpg
				Alberta	Edmonton Centre	Hookham, Paul	Man	Entrepreneur	People's Party of Canada	Defeated	805	https://lop.parl.ca/Candidate/13261_tu.jpg
				Alberta	Edmonton Centre	Eckstrom, Donovan	Man	Student	Rhinoceros Party of Canada	Defeated	206	https://lop.parl.ca/Candidate/13260_tu.jpg
				Alberta	Edmonton Centre	Pirbhai, Adil	Man	Accountant	Independent	Defeated	119	https://lop.parl.ca/Candidate/13264_tu.jpg
				Alberta	Edmonton Centre	Morton, Peggy	Woman	Hospital Worker	Marxist-Leninist Party of Canada	Defeated	79	https://lop.parl.ca/Candidate/13262_tu.jpg
				Alberta	Edmonton Griesbach	Diotte, Kerry	Man	Parliamentarian	Conservative Party of Canada	Elected	24120	https://lop.parl.ca/ParlInfoPic/18420/11131.jpg
				Alberta	Edmonton Griesbach	Cherrington, Mark	Man	Social Justice Advocate	New Democratic Party	Defeated	11800	https://lop.parl.ca/Candidate/13268_tu.jpg
	Parliament: 43 (Continued from the previous page. Continues on the next page)	Parliament: 43 (Continued from the previous page. Continues on the next page)	Parliament: 43 (Continued from the previous page. Continues on the next page)	Parliament: 43 (Continued from the previous page. Continues on the next page)	Parliament: 43 (Continued from the previous page. Continues on the next page)	Parliament: 43 (Continued from the previous page. Continues on the next page)	Parliament: 43 (Continued from the previous page. Continues on the next page)	Parliament: 43 (Continued from the previous page. Continues on the next page)	Parliament: 43 (Continued from the previous page. Continues on the next page)	Parliament: 43 (Continued from the previous page. Continues on the next page)	Parliament: 43 (Continued from the previous page. Continues on the next page)	
		Type of Election: General (Continued from the previous page. Continues on the next page)	Type of Election: General (Continued from the previous page. Continues on the next page)	Type of Election: General (Continued from the previous page. Continues on the next page)	Type of Election: General (Continued from the previous page. Continues on the next page)	Type of Election: General (Continued from the previous page. Continues on the next page)	Type of Election: General (Continued from the previous page. Continues on the next page)	Type of Election: General (Continued from the previous page. Continues on the next page)	Type of Election: General (Continued from the previous page. Continues on the next page)	Type of Election: General (Continued from the previous page. Continues on the next page)	Type of Election: General (Continued from the previous page. Continues on the next page)	
			Date of Election: 2019-10-21 Profile	Date of Election: 2019-10-21 Profile	Date of Election: 2019-10-21 Profile	Date of Election: 2019-10-21 Profile	Date of Election: 2019-10-21 Profile	Date of Election: 2019-10-21 Profile	Date of Election: 2019-10-21 Profile	Date of Election: 2019-10-21 Profile	Date of Election: 2019-10-21 Profile	
				Alberta	Edmonton Griesbach	Mohamud, Habiba	Woman	Researcher	Liberal Party of Canada	Defeated	8100	https://lop.parl.ca/Candidate/13273_tu.jpg
				Alberta	Edmonton Griesbach	Khan, Safi	Man	Founder of a nonprofit	Green Party of Canada	Defeated	1189	https://lop.parl.ca/Candidate/13272_tu.jpg
				Alberta	Edmonton Griesbach	Nichols, Barbara Ellen	Woman	English as a Second Language Instructor	People's Party of Canada	Defeated	1074	https://lop.parl.ca/Candidate/13274_tu.jpg
				Alberta	Edmonton Griesbach	Gudanowski, Andrzej	Man	Security Guard	Independent	Defeated	216	https://lop.parl.ca/Candidate/13270_tu.jpg
				Alberta	Edmonton Griesbach	Alva Armas, Christine	Woman	Licensed Practical Nurse	Christian Heritage Party of Canada	Defeated	203	https://lop.parl.ca/Candidate/13266_tu.jpg
				Alberta	Edmonton Griesbach	Boykowich, Alex	Man	Unemployed	Communist Party of Canada	Defeated	170	https://lop.parl.ca/Candidate/13267_tu.jpg
				Alberta	Edmonton Griesbach	Joyce, Mary	Woman	Artist	Marxist-Leninist Party of Canada	Defeated	91	https://lop.parl.ca/Candidate/13271_tu.jpg
				Alberta	Edmonton Manning	Aboultaif, Ziad	Man	Parliamentarian	Conservative Party of Canada	Elected	30425	https://lop.parl.ca/ParlInfoPic/18421/11153.jpg
				Alberta	Edmonton Manning	Kadri, Kamal	Man	Chief Executive Officer	Liberal Party of Canada	Defeated	11692	https://lop.parl.ca/Candidate/13276_tu.jpg
				Alberta	Edmonton Manning	St. Germain, Charmaine	Woman	Front End Grocery Clerk	New Democratic Party	Defeated	9555	https://lop.parl.ca/Candidate/13279_tu.jpg
				Alberta	Edmonton Manning	Shaw, Laura-Leah	Woman	Realtor	Green Party of Canada	Defeated	1255	https://lop.parl.ca/Candidate/13278_tu.jpg
				Alberta	Edmonton Manning	Summers, Daniel	Man	Insurance Broker	People's Party of Canada	Defeated	1109	https://lop.parl.ca/Candidate/13280_tu.jpg
				Alberta	Edmonton Manning	Phiri, Pam	Woman	Healthcare, Preacher	Christian Heritage Party of Canada	Defeated	276	https://lop.parl.ca/Candidate/13277_tu.jpg
				Alberta	Edmonton Manning	Vachon, Andre	Man	Construction Worker	Marxist-Leninist Party of Canada	Defeated	68	https://lop.parl.ca/Candidate/13281_tu.jpg
				Alberta	Edmonton Mill Woods	Uppal, Tim	Man	Consultant	Conservative Party of Canada	Elected	26736	https://lop.parl.ca/ParlInfoPic/17247/11353.jpg
				Alberta	Edmonton Mill Woods	Sohi, Amarjeet	Man	Parliamentarian	Liberal Party of Canada	Defeated	17879	https://lop.parl.ca/ParlInfoPic/18422/10353.jpg
				Alberta	Edmonton Mill Woods	Logan, Nigel	Man	IT Professional	New Democratic Party	Defeated	6422	https://lop.parl.ca/Candidate/13283_tu.jpg
				Alberta	Edmonton Mill Woods	Herbert, Tanya	Woman	Teacher	Green Party of Canada	Defeated	968	https://lop.parl.ca/Candidate/13282_tu.jpg
				Alberta	Edmonton Mill Woods	Young, Annie	Woman	Senior Program Planner	People's Party of Canada	Defeated	953	https://lop.parl.ca/Candidate/13287_tu.jpg
				Alberta	Edmonton Mill Woods	Melanson, Don	Man	Postal Worker	Christian Heritage Party of Canada	Defeated	219	https://lop.parl.ca/Candidate/13284_tu.jpg
				Alberta	Edmonton Riverbend	Jeneroux, Matt	Man	Parliamentarian	Conservative Party of Canada	Elected	35126	https://lop.parl.ca/ParlInfoPic/18423/11324.jpg
				Alberta	Edmonton Riverbend	Chaudary, Tariq	Man	Retired IT Professional	Liberal Party of Canada	Defeated	14038	https://lop.parl.ca/Candidate/13288_tu.jpg
				Alberta	Edmonton Riverbend	Redman, Audrey	Woman	Social Work	New Democratic Party	Defeated	9332	https://lop.parl.ca/Candidate/13292_tu.jpg
				Alberta	Edmonton Riverbend	Kennedy, Valerie	Woman	Retired	Green Party of Canada	Defeated	1797	https://lop.parl.ca/Candidate/13290_tu.jpg
				Alberta	Edmonton Riverbend	Morris, Kevin	Man	Information Technologist	People's Party of Canada	Defeated	855	https://lop.parl.ca/Candidate/13291_tu.jpg
				Alberta	Edmonton Strathcona	McPherson, Heather	Woman	Executive Director	New Democratic Party	Elected	26823	https://lop.parl.ca/ParlInfoPic/20106/11142.jpg
				Alberta	Edmonton Strathcona	Lilly, Sam	Man	Compliance Director	Conservative Party of Canada	Defeated	21035	https://lop.parl.ca/Candidate/13295_tu.jpg
				Alberta	Edmonton Strathcona	Olszewski, Eleanor	Woman	Lawyer	Liberal Party of Canada	Defeated	6592	https://lop.parl.ca/Candidate/13298_tu.jpg
				Alberta	Edmonton Strathcona	Kalmanovitch, Michael	Man	Shopkeeper	Green Party of Canada	Defeated	1152	https://lop.parl.ca/Candidate/13294_tu.jpg
				Alberta	Edmonton Strathcona	Cameron, Ian	Man	Engineer	People's Party of Canada	Defeated	941	https://lop.parl.ca/Candidate/13293_tu.jpg
				Alberta	Edmonton Strathcona	Rankin, Naomi	Woman	Retired	Communist Party of Canada	Defeated	125	https://lop.parl.ca/Candidate/13299_tu.jpg
				Alberta	Edmonton Strathcona	MacDonald, Dougal	Man	Educator	Marxist-Leninist Party of Canada	Defeated	77	https://lop.parl.ca/Candidate/13296_tu.jpg
				Alberta	Edmonton West	McCauley, Kelly	Man	Parliamentarian	Conservative Party of Canada	Elected	35719	https://lop.parl.ca/ParlInfoPic/18424/11332.jpg
				Alberta	Edmonton West	Johnston, Kerrie	Woman	Higher Education Management	Liberal Party of Canada	Defeated	11812	https://lop.parl.ca/Candidate/13301_tu.jpg
				Alberta	Edmonton West	Steuber, Patrick	Man	Student	New Democratic Party	Defeated	8537	https://lop.parl.ca/Candidate/13304_tu.jpg
				Alberta	Edmonton West	Pearce, Jackie	Woman	Holistic Practitioner	Green Party of Canada	Defeated	1441	https://lop.parl.ca/Candidate/13303_tu.jpg
				Alberta	Edmonton West	Armstrong, Matthew	Man	Artist	People's Party of Canada	Defeated	1126	https://lop.parl.ca/Candidate/13300_tu.jpg
				Alberta	Edmonton--Wetaskiwin	Lake, Mike	Man	Parliamentarian	Conservative Party of Canada	Elected	63346	https://lop.parl.ca/ParlInfoPic/8942/11325.jpg
				Alberta	Edmonton--Wetaskiwin	Wong, Richard	Man	Retired	Liberal Party of Canada	Defeated	10802	https://lop.parl.ca/Candidate/13310_tu.jpg
				Alberta	Edmonton--Wetaskiwin	Garver, Noah	Man	Student	New Democratic Party	Defeated	9820	https://lop.parl.ca/Candidate/13308_tu.jpg
				Alberta	Edmonton--Wetaskiwin	Drzymala, Emily	Woman	Social Worker	Green Party of Canada	Defeated	1660	https://lop.parl.ca/Candidate/13307_tu.jpg
				Alberta	Edmonton--Wetaskiwin	Doell, Neil	Man	Candidate, PPC	People's Party of Canada	Defeated	1616	https://lop.parl.ca/Candidate/13306_tu.jpg
				Alberta	Edmonton--Wetaskiwin	Calliou, Travis	Man	Retired	Veterans Coalition Party of Canada	Defeated	211	https://lop.parl.ca/Candidate/13305_tu.jpg
				Alberta	Foothills	Barlow, John	Man	Parliamentarian	Conservative Party of Canada	Elected	53872	https://lop.parl.ca/ParlInfoPic/18278/11282.jpg
				Alberta	Foothills	Moller, Cheryl	Woman	Retired Teacher	Liberal Party of Canada	Defeated	3856	https://lop.parl.ca/Candidate/13379_tu.jpg
				Alberta	Foothills	Hendi, Mickail	Man	Student	New Democratic Party	Defeated	3767	https://lop.parl.ca/Candidate/13376_tu.jpg
				Alberta	Foothills	Lacey, Bridget	Woman	Administrative Assistant	Green Party of Canada	Defeated	2398	https://lop.parl.ca/Candidate/13378_tu.jpg
	Parliament: 43 (Continued from the previous page. Continues on the next page)	Parliament: 43 (Continued from the previous page. Continues on the next page)	Parliament: 43 (Continued from the previous page. Continues on the next page)	Parliament: 43 (Continued from the previous page. Continues on the next page)	Parliament: 43 (Continued from the previous page. Continues on the next page)	Parliament: 43 (Continued from the previous page. Continues on the next page)	Parliament: 43 (Continued from the previous page. Continues on the next page)	Parliament: 43 (Continued from the previous page. Continues on the next page)	Parliament: 43 (Continued from the previous page. Continues on the next page)	Parliament: 43 (Continued from the previous page. Continues on the next page)	Parliament: 43 (Continued from the previous page. Continues on the next page)	
